date,commodity,price
2018-01-01,Gram,58.35981335131407
2018-01-02,Gram,58.43644060381321
2018-01-03,Gram,58.523521830391566
2018-01-04,Gram,58.44862174602895
2018-01-05,Gram,58.51737670605576
2018-01-06,Gram,58.54225020014108
2018-01-07,Gram,58.563548492403406
2018-01-08,Gram,58.443944295362144
2018-01-09,Gram,58.54576614858293
2018-01-10,Gram,58.50185107710018
2018-01-11,Gram,58.52943033150549
2018-01-12,Gram,58.60400922992568
2018-01-13,Gram,58.56940682525493
2018-01-14,Gram,58.64420012993075
2018-01-15,Gram,58.613897061131986
2018-01-16,Gram,58.73312209262807
2018-01-17,Gram,58.679579339067494
2018-01-18,Gram,58.76432931385552
2018-01-19,Gram,58.68868957987074
2018-01-20,Gram,58.83962747947644
2018-01-21,Gram,58.80277851627459
2018-01-22,Gram,58.8342112667675
2018-01-23,Gram,58.736199675591855
2018-01-24,Gram,58.79546319861543
2018-01-25,Gram,58.78936246201768
2018-01-26,Gram,58.83691156138861
2018-01-27,Gram,58.839412105728414
2018-01-28,Gram,58.77600794228138
2018-01-29,Gram,58.88450988901263
2018-01-30,Gram,58.87975596830476
2018-01-31,Gram,58.92768685162367
2018-02-01,Gram,58.93942187140144
2018-02-02,Gram,58.96436128449343
2018-02-03,Gram,58.99828225074086
2018-02-04,Gram,59.091347758764066
2018-02-05,Gram,59.05337643432734
2018-02-06,Gram,59.125026898828146
2018-02-07,Gram,59.09580594657536
2018-02-08,Gram,59.072775165746904
2018-02-09,Gram,59.12966452898469
2018-02-10,Gram,59.03920811252181
2018-02-11,Gram,59.110633704840836
2018-02-12,Gram,59.176873857334435
2018-02-13,Gram,59.18671711312461
2018-02-14,Gram,59.136483450921396
2018-02-15,Gram,59.11481094027855
2018-02-16,Gram,59.269662196046426
2018-02-17,Gram,59.17496307417226
2018-02-18,Gram,59.250243693878836
2018-02-19,Gram,59.295940082135495
2018-02-20,Gram,59.2482951094432
2018-02-21,Gram,59.331243233436744
2018-02-22,Gram,59.31332523535321
2018-02-23,Gram,59.28234751116622
2018-02-24,Gram,59.36118086455453
2018-02-25,Gram,59.34085289317441
2018-02-26,Gram,59.379614637169546
2018-02-27,Gram,59.374393947961046
2018-02-28,Gram,59.366939408947715
2018-03-01,Gram,59.41405826322732
2018-03-02,Gram,59.44887855143816
2018-03-03,Gram,59.5768889159262
2018-03-04,Gram,59.49723318239302
2018-03-05,Gram,59.54404059675047
2018-03-06,Gram,59.50712291319659
2018-03-07,Gram,59.53234318203125
2018-03-08,Gram,59.53330328488594
2018-03-09,Gram,59.52346905941406
2018-03-10,Gram,59.57889523311205
2018-03-11,Gram,59.6212562233283
2018-03-12,Gram,59.5204717918587
2018-03-13,Gram,59.59456953927151
2018-03-14,Gram,59.671538678475564
2018-03-15,Gram,59.65231394065425
2018-03-16,Gram,59.79675467869601
2018-03-17,Gram,59.64706092620942
2018-03-18,Gram,59.69181949574839
2018-03-19,Gram,59.75861092151913
2018-03-20,Gram,59.69678046334591
2018-03-21,Gram,59.790352759786344
2018-03-22,Gram,59.7788684377414
2018-03-23,Gram,59.818369406599416
2018-03-24,Gram,59.75595258703246
2018-03-25,Gram,59.813114983365814
2018-03-26,Gram,59.82134927467517
2018-03-27,Gram,59.779368048285804
2018-03-28,Gram,59.83758261565041
2018-03-29,Gram,59.81669408077507
2018-03-30,Gram,59.925287440023055
2018-03-31,Gram,59.941718812144956
2018-04-01,Gram,59.897260787844196
2018-04-02,Gram,59.90450806169346
2018-04-03,Gram,59.848251084007686
2018-04-04,Gram,59.99193083951047
2018-04-05,Gram,60.00206741711539
2018-04-06,Gram,59.91380820486299
2018-04-07,Gram,59.902086008321746
2018-04-08,Gram,60.00605046731946
2018-04-09,Gram,60.014781551620274
2018-04-10,Gram,60.040150649001326
2018-04-11,Gram,59.93959750951609
2018-04-12,Gram,60.042894727754515
2018-04-13,Gram,59.999011165095695
2018-04-14,Gram,60.1377944762271
2018-04-15,Gram,60.1342377459023
2018-04-16,Gram,60.16193925903948
2018-04-17,Gram,60.11013391299283
2018-04-18,Gram,60.16508636792851
2018-04-19,Gram,60.275007688155554
2018-04-20,Gram,60.22064591678323
2018-04-21,Gram,60.240933567866115
2018-04-22,Gram,60.128000251995765
2018-04-23,Gram,60.21782276334277
2018-04-24,Gram,60.29908747303445
2018-04-25,Gram,60.19994654158514
2018-04-26,Gram,60.29708042427958
2018-04-27,Gram,60.26053224893064
2018-04-28,Gram,60.20021126365441
2018-04-29,Gram,60.291214638606945
2018-04-30,Gram,60.305471796869654
2018-05-01,Gram,60.374038442152354
2018-05-02,Gram,60.306400120617496
2018-05-03,Gram,60.38561579241417
2018-05-04,Gram,60.35388171849649
2018-05-05,Gram,60.401097376705614
2018-05-06,Gram,60.379141046259534
2018-05-07,Gram,60.50610194798671
2018-05-08,Gram,60.49456837360097
2018-05-09,Gram,60.47341381341127
2018-05-10,Gram,60.48417285604598
2018-05-11,Gram,60.534114033632356
2018-05-12,Gram,60.55162139862074
2018-05-13,Gram,60.51097015743904
2018-05-14,Gram,60.56183879581053
2018-05-15,Gram,60.52140774260613
2018-05-16,Gram,60.58617860511299
2018-05-17,Gram,60.55022944410563
2018-05-18,Gram,60.65867488516851
2018-05-19,Gram,60.60003812363922
2018-05-20,Gram,60.556086683479386
2018-05-21,Gram,60.58274189496633
2018-05-22,Gram,60.6374335166494
